episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,-40.0,500,0,4.134
1,-30.0,500,0,5.352
2,-30.0,500,0,5.084
3,-40.0,500,0,3.566
4,-30.0,500,0,4.5
5,20.8,92,0,3.956522
