episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,19.940000000000044,500,0,5.08
1,32.840000000000046,500,0,3.568
2,31.010000000000048,500,0,4.776
3,36.94000000000004,500,0,4.082
4,35.73000000000005,500,0,4.4
5,36.07000000000004,500,0,4.364
6,37.280000000000015,248,0,4.459677419354839
7,31.530000000000044,500,0,4.084
8,34.51000000000003,500,0,5.182
9,41.66000000000003,415,0,4.313253012048193
10,33.710000000000036,500,0,5.056
11,41.48000000000003,407,0,4.4496314496314495
12,29.810000000000027,500,0,3.474
13,27.910000000000025,500,0,5.242
14,38.31000000000003,453,0,5.015452538631346
15,36.23000000000004,500,0,3.458
16,34.16000000000004,477,0,5.383647798742138
