folder,algo,alpha,run,nzF,nzM,maxF,maxM,episodes,mean_return,best_return,mean_steps,avg_manhattan
artifacts/exp3-20251104-213201/qlearning_a015_run1,qlearning,0.15,1,3123,3073,1.9454999999999998,1.9454999999999998,17,35.235882352941175,43.57,458.52941176470586,4.6759988235294125
artifacts/exp3-20251104-213201/qlearning_a015_run2,qlearning,0.15,2,3218,3142,2.2116749999999996,1.9454999999999998,18,36.467777777777776,44.89,430.44444444444446,4.964593555555556
artifacts/exp3-20251104-213201/qlearning_a045_run1,qlearning,0.45,1,3114,3071,5.8365,5.8365,17,35.235882352941175,43.57,458.52941176470586,4.6759988235294125
artifacts/exp3-20251104-213201/qlearning_a045_run2,qlearning,0.45,2,3208,3145,5.8365,5.8365,18,36.42333333333333,44.89,430.44444444444446,4.959593555555555
