episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,32.72000000000004,500,0,4.728
1,28.160000000000075,500,0,5.014
2,27.990000000000077,500,0,5.002
3,27.990000000000077,500,0,5.002
4,27.990000000000077,500,0,5.002
5,27.990000000000077,500,0,5.002
6,27.990000000000077,500,0,5.002
7,27.990000000000077,500,0,5.002
8,27.990000000000077,500,0,5.002
9,27.990000000000077,500,0,5.002
10,27.990000000000077,500,0,5.002
11,27.990000000000077,500,0,5.002
12,27.990000000000077,500,0,5.002
13,27.990000000000077,500,0,5.002
14,27.990000000000077,500,0,5.002
15,27.990000000000077,500,0,5.002
