global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
0,0,F,RIGHT,-0.21,"(0, 2)","(5, 1)",0,0,0
1,0,M,LEFT,0.17,"(0, 2)","(5, 0)",0,0,0
2,0,F,LEFT,0.18000000000000002,"(0, 1)","(5, 0)",0,0,0
3,0,M,PICKUP,0.6399999999999999,"(0, 1)","(5, 0)",0,1,0
4,0,F,DOWN,-0.21,"(1, 1)","(5, 0)",0,1,0
5,0,M,WAIT,0.0200000000000001,"(1, 1)","(5, 0)",0,1,0
6,0,F,LEFT,0.18000000000000002,"(1, 0)","(5, 0)",0,1,0
7,0,M,RIGHT,0.23000000000000018,"(1, 0)","(5, 1)",0,1,0
8,0,F,RIGHT,-0.21,"(1, 1)","(5, 1)",0,1,0
9,0,M,UP,-0.1599999999999999,"(1, 1)","(4, 1)",0,1,0
10,0,F,WAIT,-0.029999999999999985,"(1, 1)","(4, 1)",0,1,0
11,0,M,UP,-0.14999999999999994,"(1, 1)","(3, 1)",0,1,0
12,0,F,WAIT,-0.029999999999999985,"(1, 1)","(3, 1)",0,1,0
13,0,M,RIGHT,0.24000000000000013,"(1, 1)","(3, 2)",0,1,0
14,0,F,DOWN,-0.19999999999999993,"(2, 1)","(3, 2)",0,1,0
15,0,M,WAIT,0.0200000000000001,"(2, 1)","(3, 2)",0,1,0
16,0,F,RIGHT,-0.18999999999999997,"(2, 2)","(3, 2)",0,1,0
17,0,M,RIGHT,0.23000000000000018,"(2, 2)","(3, 3)",0,1,0
18,0,F,WAIT,-0.009999999999999967,"(2, 2)","(3, 3)",0,1,0
19,0,M,LEFT,-0.1599999999999999,"(2, 2)","(3, 2)",0,1,0
20,0,F,WAIT,-0.009999999999999967,"(2, 2)","(3, 2)",0,1,0
21,0,M,DOWN,0.23000000000000018,"(2, 2)","(4, 2)",0,1,0
22,0,F,DOWN,-0.18000000000000002,"(3, 2)","(4, 2)",0,1,0
23,0,M,LEFT,-0.1599999999999999,"(3, 2)","(4, 1)",0,1,0
24,0,F,LEFT,0.21000000000000005,"(3, 1)","(4, 1)",0,1,0
25,0,M,LEFT,-0.14999999999999994,"(3, 1)","(4, 0)",0,1,0
26,0,F,DOWN,-0.18000000000000002,"(4, 1)","(4, 0)",0,1,0
27,0,M,DOWN,0.24000000000000013,"(4, 1)","(5, 0)",0,1,0
28,0,F,WAIT,0.0,"(4, 1)","(5, 0)",0,1,0
29,0,M,WAIT,0.0200000000000001,"(4, 1)","(5, 0)",0,1,0
30,0,F,DOWN,-0.16999999999999987,"(5, 1)","(5, 0)",0,1,0
31,0,M,UP,-0.14999999999999994,"(5, 1)","(4, 0)",0,1,0
32,0,F,RIGHT,-0.1599999999999999,"(5, 2)","(4, 0)",0,1,0
33,0,M,RIGHT,0.24000000000000013,"(5, 2)","(4, 1)",0,1,0
34,0,F,LEFT,0.23000000000000018,"(5, 1)","(4, 1)",0,1,0
35,0,M,UP,-0.14999999999999994,"(5, 1)","(3, 1)",0,1,0
36,0,F,WAIT,0.01000000000000014,"(5, 1)","(3, 1)",0,1,0
37,0,M,UP,-0.1399999999999998,"(5, 1)","(2, 1)",0,1,0
