outdir,episodes_written,terminals_reached,pickups_changed,nzF,nzM
artifacts/exp4-20251104-221327/qlearning_run1,7,6,True,1165,1162
artifacts/exp4-20251104-221327/qlearning_run2,7,6,True,1247,1226
