episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,44.890000000000036,439,0,4.660592255125285
1,36.41000000000004,500,0,4.172
2,29.640000000000047,500,0,4.18
3,32.820000000000036,500,0,5.34
4,30.840000000000032,500,0,5.716
5,35.680000000000014,179,0,5.312849162011173
6,36.19000000000004,500,0,5.8
7,34.60000000000004,500,0,4.538
8,35.72000000000004,500,0,5.59
9,37.47000000000004,500,0,4.928
10,41.34000000000003,472,0,5.432203389830509
11,36.35000000000002,284,0,5.176056338028169
12,35.53000000000002,386,0,5.362694300518135
13,41.26000000000002,313,0,4.977635782747604
14,30.96000000000003,500,0,4.46
15,39.58000000000002,313,0,5.63258785942492
16,39.76000000000002,362,0,3.3480662983425415
17,36.58000000000004,500,0,4.646
18,24.950000000000017,252,0,3.9007936507936507
