episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,44.89,439,0,4.660592
1,36.41,500,0,4.172
2,29.64,500,0,4.18
3,32.82,500,0,5.34
4,30.84,500,0,5.716
5,35.68,179,0,5.312849
6,36.19,500,0,5.8
7,34.6,500,0,4.538
8,35.72,500,0,5.59
9,37.47,500,0,4.928
10,41.34,472,0,5.432203
11,36.35,284,0,5.176056
12,35.53,386,0,5.362694
13,41.26,313,0,4.977636
14,30.96,500,0,4.46
15,39.58,313,0,5.632588
16,39.76,362,0,3.348066
17,36.58,500,0,4.646
