global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
108,0,F,LEFT,-0.13,"(2, 0)","(5, 2)",1,1,0
109,0,M,WAIT,0.0,"(2, 0)","(5, 2)",1,1,0
110,0,F,UP,-0.11999999999999986,"(1, 0)","(5, 2)",1,1,0
111,0,M,UP,-0.16999999999999987,"(1, 0)","(4, 2)",1,1,0
112,0,F,RIGHT,0.27,"(1, 1)","(4, 2)",1,1,0
113,0,M,LEFT,-0.1599999999999999,"(1, 1)","(4, 1)",1,1,0
114,0,F,WAIT,0.05,"(1, 1)","(4, 1)",1,1,0
115,0,M,WAIT,0.0200000000000001,"(1, 1)","(4, 1)",1,1,0
116,0,F,DOWN,0.26000000000000023,"(2, 1)","(4, 1)",1,1,0
117,0,M,DOWN,0.23000000000000018,"(2, 1)","(5, 1)",1,1,0
118,0,F,UP,-0.13,"(1, 1)","(5, 1)",1,1,0
119,0,M,LEFT,-0.1599999999999999,"(1, 1)","(5, 0)",1,1,0
120,0,F,RIGHT,0.26000000000000023,"(1, 2)","(5, 0)",1,1,0
121,0,M,WAIT,0.0200000000000001,"(1, 2)","(5, 0)",1,1,0
122,0,F,DOWN,0.2500000000000001,"(2, 2)","(5, 0)",1,1,0
123,0,M,WAIT,0.0200000000000001,"(2, 2)","(5, 0)",1,1,0
124,0,F,LEFT,-0.1399999999999998,"(2, 1)","(5, 0)",1,1,0
125,0,M,UP,-0.14999999999999994,"(2, 1)","(4, 0)",1,1,0
126,0,F,UP,-0.13,"(1, 1)","(4, 0)",1,1,0
127,0,M,WAIT,0.03000000000000007,"(1, 1)","(4, 0)",1,1,0
128,0,F,DOWN,0.26000000000000023,"(2, 1)","(4, 0)",1,1,0
129,0,M,UP,-0.1399999999999998,"(2, 1)","(3, 0)",1,1,0
130,0,F,RIGHT,0.2500000000000001,"(2, 2)","(3, 0)",1,1,0
131,0,M,UP,-0.13,"(2, 2)","(2, 0)",1,1,0
132,0,F,LEFT,-0.1399999999999998,"(2, 1)","(2, 0)",1,1,0
133,0,M,DOWN,0.26000000000000023,"(2, 1)","(3, 0)",1,1,0
134,0,F,WAIT,0.040000000000000216,"(2, 1)","(3, 0)",1,1,0
135,0,M,DOWN,0.2500000000000001,"(2, 1)","(4, 0)",1,1,0
136,0,F,RIGHT,0.2500000000000001,"(2, 2)","(4, 0)",1,1,0
137,0,M,DOWN,0.24000000000000013,"(2, 2)","(5, 0)",1,1,0
138,0,F,DOWN,0.24000000000000013,"(3, 2)","(5, 0)",1,1,0
139,0,M,RIGHT,0.23000000000000018,"(3, 2)","(5, 1)",1,1,0
140,0,F,RIGHT,0.23000000000000018,"(3, 3)","(5, 1)",1,1,0
141,0,M,LEFT,-0.1599999999999999,"(3, 3)","(5, 0)",1,1,0
142,0,F,WAIT,0.01000000000000014,"(3, 3)","(5, 0)",1,1,0
143,0,M,WAIT,0.0200000000000001,"(3, 3)","(5, 0)",1,1,0
144,0,F,LEFT,-0.1599999999999999,"(3, 2)","(5, 0)",1,1,0
145,0,M,WAIT,0.0200000000000001,"(3, 2)","(5, 0)",1,1,0
146,0,F,DOWN,0.23000000000000018,"(4, 2)","(5, 0)",1,1,0
147,0,M,UP,-0.14999999999999994,"(4, 2)","(4, 0)",1,1,0
148,0,F,WAIT,0.01000000000000014,"(4, 2)","(4, 0)",1,1,0
149,0,M,UP,-0.1399999999999998,"(4, 2)","(3, 0)",1,1,0
150,0,F,UP,-0.1599999999999999,"(3, 2)","(3, 0)",1,1,0
151,0,M,RIGHT,0.2500000000000001,"(3, 2)","(3, 1)",1,1,0
152,0,F,UP,-0.14999999999999994,"(2, 2)","(3, 1)",1,1,0
153,0,M,WAIT,0.03000000000000007,"(2, 2)","(3, 1)",1,1,0
154,0,F,UP,-0.1399999999999998,"(1, 2)","(3, 1)",1,1,0
155,0,M,UP,-0.1399999999999998,"(1, 2)","(2, 1)",1,1,0
156,0,F,UP,-0.13,"(0, 2)","(2, 1)",1,1,0
157,0,M,UP,-0.13,"(0, 2)","(1, 1)",1,1,0
158,0,F,RIGHT,0.26000000000000023,"(0, 3)","(1, 1)",1,1,0
159,0,M,LEFT,-0.11999999999999986,"(0, 3)","(1, 0)",1,1,0
160,0,F,WAIT,0.040000000000000216,"(0, 3)","(1, 0)",1,1,0
161,0,M,DOWN,0.27,"(0, 3)","(2, 0)",1,1,0
162,0,F,DOWN,0.2500000000000001,"(1, 3)","(2, 0)",1,1,0
163,0,M,DOWN,0.26000000000000023,"(1, 3)","(3, 0)",1,1,0
164,0,F,WAIT,0.03000000000000007,"(1, 3)","(3, 0)",1,1,0
165,0,M,WAIT,0.040000000000000216,"(1, 3)","(3, 0)",1,1,0
166,0,F,LEFT,-0.1399999999999998,"(1, 2)","(3, 0)",1,1,0
167,0,M,UP,-0.13,"(1, 2)","(2, 0)",1,1,0
168,0,F,DOWN,0.2500000000000001,"(2, 2)","(2, 0)",1,1,0
169,0,M,WAIT,0.05,"(2, 2)","(2, 0)",1,1,0
170,0,F,DOWN,0.24000000000000013,"(3, 2)","(2, 0)",1,1,0
171,0,M,DOWN,0.26000000000000023,"(3, 2)","(3, 0)",1,1,0
172,0,F,WAIT,0.0200000000000001,"(3, 2)","(3, 0)",1,1,0
173,0,M,DOWN,0.2500000000000001,"(3, 2)","(4, 0)",1,1,0
174,0,F,RIGHT,0.23000000000000018,"(3, 3)","(4, 0)",1,1,0
175,0,M,UP,-0.1399999999999998,"(3, 3)","(3, 0)",1,1,0
176,0,F,DOWN,0.22,"(4, 3)","(3, 0)",1,1,0
177,0,M,UP,-0.13,"(4, 3)","(2, 0)",1,1,0
178,0,F,UP,-0.16999999999999987,"(3, 3)","(2, 0)",1,1,0
179,0,M,WAIT,0.05,"(3, 3)","(2, 0)",1,1,0
180,0,F,DOWN,0.22,"(4, 3)","(2, 0)",1,1,0
181,0,M,WAIT,0.05,"(4, 3)","(2, 0)",1,1,0
182,0,F,LEFT,-0.16999999999999987,"(4, 2)","(2, 0)",1,1,0
183,0,M,DOWN,0.26000000000000023,"(4, 2)","(3, 0)",1,1,0
184,0,F,LEFT,-0.1599999999999999,"(4, 1)","(3, 0)",1,1,0
185,0,M,DOWN,0.2500000000000001,"(4, 1)","(4, 0)",1,1,0
186,0,F,WAIT,0.0200000000000001,"(4, 1)","(4, 0)",1,1,0
187,0,M,WAIT,0.03000000000000007,"(4, 1)","(4, 0)",1,1,0
188,0,F,UP,-0.14999999999999994,"(3, 1)","(4, 0)",1,1,0
189,0,M,WAIT,0.03000000000000007,"(3, 1)","(4, 0)",1,1,0
