episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,26.590000000000042,500,0,6.016
1,34.72000000000005,500,0,4.268
2,33.660000000000046,500,0,4.546
3,22.480000000000043,500,0,5.812
4,43.36000000000004,500,0,5.348
5,24.880000000000045,500,0,4.744
6,32.63000000000004,500,0,5.336
7,34.840000000000046,500,0,5.618
8,24.55000000000005,500,0,5.24
9,33.40000000000004,500,0,5.672
10,41.94000000000005,500,0,4.388
11,38.69000000000005,500,0,4.79
12,34.45000000000004,500,0,3.572
13,25.050000000000047,500,0,4.984
14,36.990000000000045,500,0,5.694
15,23.390000000000047,500,0,6.11
