global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
137,0,M,LEFT,0.23000000000000018,"(5, 1)","(1, 5)",1,0,0
138,0,F,RIGHT,0.22,"(5, 2)","(1, 5)",1,0,0
139,0,M,WAIT,0.01000000000000014,"(5, 2)","(1, 5)",1,0,0
140,0,F,RIGHT,0.21000000000000005,"(5, 3)","(1, 5)",1,0,0
141,0,M,UP,0.22,"(5, 3)","(0, 5)",1,0,0
142,0,F,UP,-0.18000000000000002,"(4, 3)","(0, 5)",1,0,0
143,0,M,WAIT,0.0,"(4, 3)","(0, 5)",1,0,0
144,0,F,RIGHT,0.21000000000000005,"(4, 4)","(0, 5)",1,0,0
145,0,M,DOWN,-0.16999999999999987,"(4, 4)","(1, 5)",1,0,0
146,0,F,DOWN,0.2000000000000001,"(5, 4)","(1, 5)",1,0,0
147,0,M,WAIT,0.01000000000000014,"(5, 4)","(1, 5)",1,0,0
148,0,F,RIGHT,0.19000000000000003,"(5, 5)","(1, 5)",1,0,0
149,0,M,RIGHT,-0.1599999999999999,"(5, 5)","(1, 6)",1,0,0
150,0,F,UP,-0.19999999999999993,"(4, 5)","(1, 6)",1,0,0
151,0,M,WAIT,0.0200000000000001,"(4, 5)","(1, 6)",1,0,0
152,0,F,WAIT,-0.01999999999999993,"(4, 5)","(1, 6)",1,0,0
153,0,M,WAIT,0.0200000000000001,"(4, 5)","(1, 6)",1,0,0
154,0,F,UP,-0.18999999999999997,"(3, 5)","(1, 6)",1,0,0
155,0,M,LEFT,0.23000000000000018,"(3, 5)","(1, 5)",1,0,0
156,0,F,WAIT,-0.009999999999999967,"(3, 5)","(1, 5)",1,0,0
157,0,M,RIGHT,-0.1599999999999999,"(3, 5)","(1, 6)",1,0,0
158,0,F,RIGHT,0.2000000000000001,"(3, 6)","(1, 6)",1,0,0
159,0,M,LEFT,0.23000000000000018,"(3, 6)","(1, 5)",1,0,0
160,0,F,DOWN,0.19000000000000003,"(4, 6)","(1, 5)",1,0,0
161,0,M,DOWN,-0.1599999999999999,"(4, 6)","(2, 5)",1,0,0
162,0,F,DOWN,0.18000000000000002,"(5, 6)","(2, 5)",1,0,0
163,0,M,DOWN,0.040000000000000105,"(5, 6)","(3, 5)",1,0,0
164,0,F,WAIT,-0.039999999999999994,"(5, 6)","(3, 5)",1,0,0
165,0,M,DOWN,0.23000000000000018,"(5, 6)","(4, 5)",1,0,0
166,0,F,UP,-0.21,"(4, 6)","(4, 5)",1,0,0
167,0,M,DOWN,0.22,"(4, 6)","(5, 5)",1,0,0
168,0,F,WAIT,-0.029999999999999985,"(4, 6)","(5, 5)",1,0,0
169,0,M,WAIT,0.0,"(4, 6)","(5, 5)",1,0,0
170,0,F,RIGHT,0.18000000000000002,"(4, 7)","(5, 5)",1,0,0
171,0,M,RIGHT,-0.16999999999999987,"(4, 7)","(5, 6)",1,0,0
172,0,F,WAIT,-0.039999999999999994,"(4, 7)","(5, 6)",1,0,0
173,0,M,RIGHT,-0.1599999999999999,"(4, 7)","(5, 7)",1,0,0
174,0,F,UP,-0.21,"(3, 7)","(5, 7)",1,0,0
175,0,M,LEFT,0.23000000000000018,"(3, 7)","(5, 6)",1,0,0
176,0,F,UP,-0.19999999999999993,"(2, 7)","(5, 6)",1,0,0
177,0,M,RIGHT,-0.1599999999999999,"(2, 7)","(5, 7)",1,0,0
178,0,F,LEFT,-0.18999999999999997,"(2, 6)","(5, 7)",1,0,0
179,0,M,WAIT,0.0200000000000001,"(2, 6)","(5, 7)",1,0,0
180,0,F,LEFT,-0.18000000000000002,"(2, 5)","(5, 7)",1,0,0
181,0,M,UP,-0.14999999999999994,"(2, 5)","(4, 7)",1,0,0
182,0,F,UP,-0.16999999999999987,"(1, 5)","(4, 7)",1,0,0
183,0,M,DOWN,0.24000000000000013,"(1, 5)","(5, 7)",1,0,0
184,0,F,RIGHT,0.22,"(1, 6)","(5, 7)",1,0,0
185,0,M,LEFT,0.23000000000000018,"(1, 6)","(5, 6)",1,0,0
186,0,F,DOWN,0.21000000000000005,"(2, 6)","(5, 6)",1,0,0
187,0,M,UP,-0.1599999999999999,"(2, 6)","(4, 6)",1,0,0
188,0,F,DOWN,0.2000000000000001,"(3, 6)","(4, 6)",1,0,0
189,0,M,DOWN,0.23000000000000018,"(3, 6)","(5, 6)",1,0,0
190,0,F,UP,-0.18999999999999997,"(2, 6)","(5, 6)",1,0,0
