episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,26.590000000000042,500,0,6.016
1,33.68000000000009,500,0,6.034
2,29.440000000000037,500,0,3.874
3,27.71000000000003,500,0,4.144
4,25.080000000000027,500,0,7.48
5,25.650000000000027,500,0,7.652
6,26.02000000000003,500,0,6.856
7,35.91000000000005,500,0,6.808
8,38.19000000000001,178,0,3.7191011235955056
9,25.120000000000026,500,0,2.176
10,37.780000000000065,500,0,2.338
11,34.93000000000002,326,0,3.7484662576687118
12,37.74000000000002,404,0,5.584158415841584
13,47.8200000000001,500,0,3.098
14,35.62000000000001,186,0,5.56989247311828
15,35.02000000000001,178,0,4.314606741573034
16,29.130000000000024,500,0,5.532
17,35.49000000000001,258,0,4.209302325581396
18,34.77000000000001,194,0,5.65979381443299
19,34.14000000000001,228,0,5.184210526315789
20,20.020000000000003,48,0,4.604166666666667
