global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
0,0,F,DOWN,-0.21,"(1, 1)","(5, 1)",0,0,0
1,0,M,RIGHT,-0.21,"(1, 1)","(5, 2)",0,0,0
2,0,F,LEFT,0.18000000000000002,"(1, 0)","(5, 2)",0,0,0
3,0,M,WAIT,-0.029999999999999985,"(1, 0)","(5, 2)",0,0,0
4,0,F,UP,0.17,"(0, 0)","(5, 2)",0,0,0
5,0,M,LEFT,0.18000000000000002,"(0, 0)","(5, 1)",0,0,0
6,0,F,PICKUP,-0.30999999999999983,"(0, 0)","(5, 1)",1,0,0
7,0,M,RIGHT,-0.21,"(0, 0)","(5, 2)",1,0,0
8,0,F,RIGHT,0.28000000000000014,"(0, 1)","(5, 2)",1,0,0
9,0,M,WAIT,-0.029999999999999985,"(0, 1)","(5, 2)",1,0,0
10,0,F,RIGHT,0.27,"(0, 2)","(5, 2)",1,0,0
11,0,M,RIGHT,-0.19999999999999993,"(0, 2)","(5, 3)",1,0,0
12,0,F,DOWN,0.26000000000000023,"(1, 2)","(5, 3)",1,0,0
13,0,M,LEFT,0.19000000000000003,"(1, 2)","(5, 2)",1,0,0
14,0,F,UP,-0.13,"(0, 2)","(5, 2)",1,0,0
15,0,M,WAIT,-0.029999999999999985,"(0, 2)","(5, 2)",1,0,0
16,0,F,WAIT,0.05,"(0, 2)","(5, 2)",1,0,0
17,0,M,WAIT,-0.029999999999999985,"(0, 2)","(5, 2)",1,0,0
18,0,F,RIGHT,0.26000000000000023,"(0, 3)","(5, 2)",1,0,0
19,0,M,WAIT,-0.029999999999999985,"(0, 3)","(5, 2)",1,0,0
20,0,F,RIGHT,0.2500000000000001,"(0, 4)","(5, 2)",1,0,0
21,0,M,WAIT,-0.029999999999999985,"(0, 4)","(5, 2)",1,0,0
22,0,F,DOWN,0.24000000000000013,"(1, 4)","(5, 2)",1,0,0
23,0,M,LEFT,0.18000000000000002,"(1, 4)","(5, 1)",1,0,0
24,0,F,LEFT,-0.14999999999999994,"(1, 3)","(5, 1)",1,0,0
25,0,M,UP,-0.21,"(1, 3)","(4, 1)",1,0,0
26,0,F,LEFT,-0.1399999999999998,"(1, 2)","(4, 1)",1,0,0
27,0,M,WAIT,-0.029999999999999985,"(1, 2)","(4, 1)",1,0,0
28,0,F,LEFT,-0.13,"(1, 1)","(4, 1)",1,0,0
29,0,M,LEFT,0.18000000000000002,"(1, 1)","(4, 0)",1,0,0
30,0,F,WAIT,0.05,"(1, 1)","(4, 0)",1,0,0
31,0,M,WAIT,-0.039999999999999994,"(1, 1)","(4, 0)",1,0,0
32,0,F,LEFT,-0.11999999999999986,"(1, 0)","(4, 0)",1,0,0
33,0,M,UP,-0.21,"(1, 0)","(3, 0)",1,0,0
34,0,F,DOWN,0.27,"(2, 0)","(3, 0)",1,0,0
35,0,M,RIGHT,-0.19999999999999993,"(2, 0)","(3, 1)",1,0,0
36,0,F,DOWN,0.26000000000000023,"(3, 0)","(3, 1)",1,0,0
37,0,M,WAIT,-0.01999999999999993,"(3, 0)","(3, 1)",1,0,0
38,0,F,UP,-0.13,"(2, 0)","(3, 1)",1,0,0
39,0,M,DOWN,0.19000000000000003,"(2, 0)","(4, 1)",1,0,0
40,0,F,WAIT,0.05,"(2, 0)","(4, 1)",1,0,0
41,0,M,UP,-0.19999999999999993,"(2, 0)","(3, 1)",1,0,0
42,0,F,UP,-0.11999999999999986,"(1, 0)","(3, 1)",1,0,0
43,0,M,DOWN,0.19000000000000003,"(1, 0)","(4, 1)",1,0,0
44,0,F,WAIT,0.06000000000000015,"(1, 0)","(4, 1)",1,0,0
45,0,M,DOWN,0.18000000000000002,"(1, 0)","(5, 1)",1,0,0
46,0,F,UP,-0.10999999999999972,"(0, 0)","(5, 1)",1,0,0
47,0,M,RIGHT,-0.21,"(0, 0)","(5, 2)",1,0,0
48,0,F,DOWN,0.28000000000000014,"(1, 0)","(5, 2)",1,0,0
49,0,M,WAIT,-0.029999999999999985,"(1, 0)","(5, 2)",1,0,0
